# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
9.011448,4.992359,-2.827416,0.337529,0.333814,5.337499
9.111471,5.086172,-2.792722,0.370911,0.333814,5.337500
9.211494,5.178776,-2.754917,0.404292,0.333814,5.337501
9.311518,5.270066,-2.714041,0.437674,0.333814,5.337503
9.411541,5.359941,-2.670142,0.471055,0.333814,5.337504
9.511565,5.448301,-2.623267,0.504437,0.333813,5.337506
9.611588,5.535047,-2.573470,0.537818,0.333813,5.337507
9.711612,5.620083,-2.520805,0.571199,0.333813,5.337509
9.811636,5.703314,-2.465331,0.604581,0.333813,5.337510
9.911660,5.784648,-2.407110,0.637962,0.333813,5.337512
10.011684,5.863993,-2.346207,0.671344,0.333813,5.337513
10.111707,5.941261,-2.282690,0.704725,0.333812,5.337514
10.211731,6.016366,-2.216629,0.738107,0.333812,5.337516
10.311755,6.089224,-2.148099,0.771488,0.333812,5.337517
10.411779,6.159755,-2.077175,0.804870,0.333812,5.337519
10.511804,6.227879,-2.003936,0.838251,0.333812,5.337520
10.611828,6.293521,-1.928464,0.871633,0.333811,5.337522
10.711852,6.356608,-1.850844,0.905014,0.333811,5.337523
10.811876,6.417069,-1.771161,0.938396,0.333811,5.337525
10.911901,6.474837,-1.689505,0.971777,0.333811,5.337526
11.011925,6.529847,-1.605966,1.005159,0.333811,5.337528
11.111950,6.582039,-1.520638,1.038540,0.333810,5.337529
11.211974,6.631354,-1.433615,1.071922,0.333810,5.337531
11.311999,6.677737,-1.344995,1.105303,0.333810,5.337532
11.412023,6.721136,-1.254876,1.138684,0.333810,5.337534
11.512048,6.761504,-1.163359,1.172066,0.333810,5.337535
11.612073,6.798794,-1.070545,1.205447,0.333810,5.337537
11.712097,6.832966,-0.976539,1.238829,0.333809,5.337538
11.812122,6.863982,-0.881444,1.272210,0.333809,5.337540
11.912147,6.891807,-0.785367,1.305592,0.333809,5.337541
12.012172,6.916409,-0.688415,1.338973,0.333809,5.337543
12.112197,6.937762,-0.590696,1.372355,0.333809,5.337545
